ProviderNamespace,ResourceType,ModuleDisplayName,AlternativeNames,ModuleName,ParentModule,ModuleStatus,RepoURL,PublicRegistryReference,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,Description,Comments,FirstPublishedIn
Microsoft.Insights,autoscalesettings,Auto scale settings,,avm-res-insights-autoscalesetting,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-insights-autoscalesetting,https://registry.terraform.io/modules/Azure/avm-res-insights-autoscalesetting/azurerm/latest,MinHeinA,Min Hein Aung,,,AVM Resource Module for Auto scale settings,,2024-11
Microsoft.Insights,components,Application Insight,,avm-res-insights-component,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-insights-component,https://registry.terraform.io/modules/Azure/avm-res-insights-component/azurerm/latest,Jfolberth,John Folberth,,,AVM Resource Module for Application Insight,,2024-08
Microsoft.Insights,dataCollectionEndpoints,Data Collection Endpoint,,avm-res-insights-datacollectionendpoint,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-insights-datacollectionendpoint,https://registry.terraform.io/modules/Azure/avm-res-insights-datacollectionendpoint/azurerm/latest,sharmilamusunuru,Sharmila Musunuru,,,AVM Resource Module for Data Collection Endpoint,,2024-08
Microsoft.Insights,dataCollectionRules,Data Collection Rule,,avm-res-insights-datacollectionrule,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-insights-datacollectionrule,https://registry.terraform.io/modules/Azure/avm-res-insights-datacollectionrule/azurerm/latest,sharmilamusunuru,Sharmila Musunuru,,,AVM Resource Module for Data Collection Rule,,
Microsoft.Insights,logProfiles,Log profile,,avm-res-insights-logprofile,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-insights-logprofile,https://registry.terraform.io/modules/Azure/avm-res-insights-logprofile/azurerm/latest,sharmilamusunuru,Sharmila Musunuru,,,AVM Resource Module for Log profile,,
Microsoft.Insights,metricAlerts,Metric Alert,,avm-res-insights-metricalert,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-insights-metricalert,https://registry.terraform.io/modules/Azure/avm-res-insights-metricalert/azurerm/latest,arjenhuitema,Arjen Huitema,,,AVM Resource Module for Metric Alert,,
Microsoft.Insights,privateLinkScopes,Azure Monitor Private Link Scope,,avm-res-insights-privatelinkscope,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-insights-privatelinkscope,https://registry.terraform.io/modules/Azure/avm-res-insights-privatelinkscope/azurerm/latest,sharmilamusunuru,Sharmila Musunuru,,,AVM Resource Module for Azure Monitor Private Link Scope,,
Microsoft.Insights,scheduledQueryRules,Scheduled Query Rule,,avm-res-insights-scheduledqueryrule,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-insights-scheduledqueryrule,https://registry.terraform.io/modules/Azure/avm-res-insights-scheduledqueryrule/azurerm/latest,xsatishx,Satish Balakrishnan,,,AVM Resource Module for Scheduled Query Rule,,
Microsoft.IoTOperations,instances,Azure IoT Operations,,avm-res-iotoperations-instance,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-iotoperations-instance,https://registry.terraform.io/modules/Azure/avm-res-iotoperations-instance/azurerm/latest,agreaves-ms,Allen Greaves,WilliamBerryiii,Bill Berry,AVM Resource Module for Azure IoT Operations,,
Microsoft.KeyVault,vaults,Key Vault,KV,avm-res-keyvault-vault,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-keyvault-vault,https://registry.terraform.io/modules/Azure/avm-res-keyvault-vault/azurerm/latest,matt-FFFFFF,Matt White,,,AVM Resource Module for Key Vault,,2023-09
