ProviderNamespace,ResourceType,ModuleDisplayName,ModuleName,ModuleStatus,RepoURL,RegistryURL,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description
Microsoft.EventHub,namespaces,Event Hub Namespaces,avm-res-eventhub-namespace,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/eventhub/namespace,,46d3xbcp.res.eventhub-namespace,elbatane,Elena Batanero,@azure/avm-res-eventhub-namespace-module-owners-bicep,@azure/avm-res-eventhub-namespace-module-contributors-bicep,
Microsoft.HealthBot,healthBots,Azure Health Bots,avm-res-healthbot-healthbot,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/healthbot/healthbot,,46d3xbcp.res.healthbot-healthbot,,,@azure/avm-res-healthbot-healthbot-module-owners-bicep,@azure/avm-res-healthbot-healthbot-module-contributors-bicep,
Microsoft.HealthcareApis,workspaces,Healthcare API Workspaces,avm-res-healthcareapis-workspace,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/healthcareapis/workspace,,46d3xbcp.res.healthcareapis-workspace,,,@azure/avm-res-healthcareapis-workspace-module-owners-bicep,@azure/avm-res-healthcareapis-workspace-module-contributors-bicep,
Microsoft.Insights,actionGroups,Action Groups,avm-res-insights-actiongroup,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/insights/actiongroup,,46d3xbcp.res.insights-actiongroup,rahalan,Rainer Halanek,@azure/avm-res-insights-actiongroup-module-owners-bicep,@azure/avm-res-insights-actiongroup-module-contributors-bicep,
Microsoft.Insights,activityLogAlerts,Activity Log Alerts,avm-res-insights-activitylogalert,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/insights/activitylogalert,,46d3xbcp.res.insights-activitylogalert,,,@azure/avm-res-insights-activitylogalert-module-owners-bicep,@azure/avm-res-insights-activitylogalert-module-contributors-bicep,
Microsoft.Insights,components,Application Insights,avm-res-insights-component,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/insights/component,,46d3xbcp.res.insights-component,,,@azure/avm-res-insights-component-module-owners-bicep,@azure/avm-res-insights-component-module-contributors-bicep,
Microsoft.Insights,dataCollectionEndpoints,Data Collection Endpoints,avm-res-insights-datacollectionendpoint,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/insights/datacollectionendpoint,,46d3xbcp.res.insights-datacollectionendpoint,krbar,Kris Baranek,@azure/avm-res-insights-datacollectionendpoint-module-owners-bicep,@azure/avm-res-insights-datacollectionendpoint-module-contributors-bicep,
Microsoft.Insights,dataCollectionRuleAssociations,Data Collection Rules,avm-res-insights-datacollectionruleassociation,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/insights/datacollectionruleassociation,,46d3xbcp.res.insights-datacollectionruleassoc,krbar,Kris Baranek,@azure/avm-res-insights-datacollectionruleassociation-module-owners-bicep,@azure/avm-res-insights-datacollectionruleassociation-module-contributors-bicep,
Microsoft.Insights,diagnosticSettings,Diagnostic Settings (Activity Logs) for Azure Subscriptions,avm-res-insights-diagnosticsetting,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/insights/diagnosticsetting,,46d3xbcp.res.insights-diagnosticsetting,,,@azure/avm-res-insights-diagnosticsetting-module-owners-bicep,@azure/avm-res-insights-diagnosticsetting-module-contributors-bicep,
Microsoft.Insights,metricAlerts,Metric Alerts,avm-res-insights-metricalert,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/insights/metricalert,,46d3xbcp.res.insights-metricalert,,,@azure/avm-res-insights-metricalert-module-owners-bicep,@azure/avm-res-insights-metricalert-module-contributors-bicep,
